child neutral affect,cleanup not requested,mother positive affect,no child independent clean up,v direct concrete inst,p touching toys for cleanup,v small mission steps,no compliance - Passive,p signal const,yes compliance,v positive feedback,p positive feedback,v signal const,v perspective/mirroring,p mother cleanup,v concern,p concern exp,child positive affect,v choice,p gentle touch for clean up,v rational,p affection expression,v motivation arousal,v unclear,v inadequate perspective/invalidation,v action oriented feedback,v affection,v hostility,no compliance - Defiance,p modeling,v modeling,p forceful touch for cleanup,child negative affect,no compliance - Refusal,child alert,no inadequate boundaries setting,indecisive expectations setting,legitimazinig expectation violation,v glorificaion feedback,v negative cr,yes child independent clean up,v threat punishment,p motivational arrousal,child tired,v material reward,v negative feedback,unclear compiance
6,8,6,6,4,48,48,6,50,4,36,4,4,6,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,6,6,12,26,40,8,36,12,36,2,10,10,16,2,2,2,2,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8,6,6,6,20,26,4,18,6,42,0,22,2,14,0,0,0,0,0,0,0,8,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,10,6,6,10,20,48,16,34,12,26,0,4,12,6,0,0,0,0,8,0,2,12,0,0,0,12,2,2,6,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,6,6,4,8,12,6,4,4,12,0,10,2,12,0,0,0,0,4,0,0,4,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,6,6,10,10,8,4,12,2,0,0,0,6,2,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,6,6,22,28,22,12,20,10,24,0,6,2,12,2,4,0,2,2,2,0,8,0,8,2,2,6,0,2,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,16,6,6,10,10,6,6,8,2,4,0,6,4,8,0,0,0,0,2,0,0,0,0,0,0,14,0,2,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,6,6,18,22,8,10,14,0,0,0,2,20,4,0,0,4,10,2,2,2,0,0,4,0,2,0,12,4,6,0,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10,6,6,18,6,26,8,26,4,8,0,2,4,24,0,0,2,0,0,0,4,2,0,0,0,14,0,0,2,2,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
6,18,6,6,24,20,24,4,28,12,20,0,4,4,4,14,2,0,2,4,0,2,0,2,0,0,16,4,16,4,4,0,0,0,6,32,20,8,0,0,0,0,0,0,0,0,0
