child neutral affect,cleanup not requested,mother positive affect,no child independent clean up,v direct concrete inst,p touching toys for cleanup,v small mission steps,no compliance - Passive,p signal const,yes compliance,v positive feedback,p positive feedback,v signal const,v perspective/mirroring,p mother cleanup,v concern,p concern exp,child positive affect,v choice,p gentle touch for clean up,v rational,p affection expression,v motivation arousal,v unclear,v inadequate perspective/invalidation,v action oriented feedback,v affection,v hostility,no compliance - Defiance,p modeling,v modeling,p forceful touch for cleanup,child negative affect,no compliance - Refusal,child alert,no inadequate boundaries setting,indecisive expectations setting,legitimazinig expectation violation,v glorificaion feedback,v negative cr,yes child independent clean up,v threat punishment,p motivational arrousal,child tired,v material reward,v negative feedback,unclear compiance
0,0.0011,0,0,0.8587,0.0437,0.0034,0.0003,0.0484,0,0.0848,0.8432,0.3622,0.1435,0.3074,0.3715,0.5816,0.5042,0.0966,0.8584,0.6673,0.7583,0.5995,0.9309,0.3889,0.2506,0.8164,0.9716,0.006,0.0292,0.0313,0.0558,0.0001,0.0197,0.0014,0.4428,0.029,0.099,0.4498,0.6731,0.001,0.201,0.5146,0.2094,0.9287,0.222,0.7785
0.0011,0,0,0,0.0638,0.2965,0.0142,0,0.04,0,0.0267,0.4924,0.1288,0.6307,0.5621,0.6035,0.7957,0.043,0.3659,0.0178,0.4957,0.4112,0.0414,0.4197,0.0057,0.2833,0.3976,0.3257,0.075,0.29,0.4169,0.0593,0.0031,0.0011,0,0.0005,0.4855,0.8441,0.4345,0.5204,0.3695,0.3446,0.3131,0.3323,0.1493,0.9459,0.1217
0,0,0,0,0.1344,0.1304,0.024,0,0.0002,0,0,0.1208,0.0353,0.1273,0.0017,0.5798,0.1655,0.1956,0.4583,0.1384,0.4075,0.583,0.0042,0.1042,0.1449,0.9145,0.2988,0.3672,0.2962,0.6977,0.0867,0.1491,0.9555,0.1229,0,0,0.1285,0.4061,0.3431,0.6169,0.117,0.1482,0.1811,0.9462,0.5191,0.9614,0.8169
0,0,0,0,0.0004,0.7938,0.5859,0.0032,0.5043,0.2182,0.3664,0.4848,0.26,0.0301,0.253,0.472,0.0825,0.0054,0.687,0.0174,0.2857,0.079,0.086,0.7828,0.0006,0.0073,0.1691,0.1641,0,0.0208,0.0005,0.0146,0,0,0,0.1465,0.0003,0.0009,0.4458,0.0596,0.001,0.1062,0.2086,0.8732,0.168,0.4536,0.1176
0.8587,0.0638,0.1344,0.0004,0,0.2559,0,0.3842,0.2029,0.3641,0.0155,0.4298,0.0072,0.0966,0.0959,0.2873,0.8117,0.0007,0.6666,0.0609,0.1211,0.1344,0.8415,0.8427,0.2453,0.2747,0.0086,0.2866,0.0213,0.5205,0.0932,0.2814,0.0817,0.0626,0.0051,0.5782,0.0019,0.0042,0.6056,0.8107,0.003,0.4561,0.1678,0.1838,0.0682,0.7245,0.328
0.0437,0.2965,0.1304,0.7938,0.2559,0,0.0069,0.309,0.1052,0.016,0.0682,0.86,0.2631,0.8219,0.2876,0.9286,0.013,0.2871,0.2053,0.9918,0.4057,0.6791,0.8416,0.4132,0.4841,0.7721,0.0077,0.9414,0.7944,0.7604,0.6439,0.7707,0.7328,0.7577,0.0704,0.0079,0.0707,0.3235,0.0625,0.9065,0.0046,0.1896,0.2022,0.2365,0.1674,0.8736,0.3119
0.0034,0.0142,0.024,0.5859,0,0.0069,0,0.0523,0.0006,0,0,0.4909,0.2624,0.5026,0.0156,0.7465,0.2687,0.2401,0.9054,0.3443,0.1398,0.0521,0.839,0.1373,0.0219,0.6995,0.0027,0.1311,0.1441,0.4112,0.0636,0.9272,0.0338,0.4469,0.2413,0.0019,0.0041,0.0022,0.97,0.9881,0.0062,0.4171,0.4506,0.7461,0.2968,0.7189,0.5737
0.0003,0,0,0.0032,0.3842,0.309,0.0523,0,0.0136,0,0.0203,0.6616,0.1053,0.0308,0.664,0.1982,0.9799,0.084,0.7546,0.9582,0.3702,0.4349,0.1233,0.8507,0.4481,0.8305,0.701,0.6433,0.4158,0.035,0.0798,0.1679,0.0561,0.843,0.0003,0,0.0842,0.4648,0.5624,0.9409,0.0057,0.8297,0.8641,0.072,0.634,0.3018,0.5622
0.0484,0.04,0.0002,0.5043,0.2029,0.1052,0.0006,0.0136,0,0.0006,0.0001,0.0216,0.5264,0.8067,0.0029,0.7453,0.1318,0.3587,0.0157,0.4654,0.0805,0.481,0.5996,0.7946,0.8198,0.3398,0.1989,0.1524,0.0674,0.9705,0.6231,0.7522,0.0033,0.9765,0.4264,0,0.3052,0.1811,0.2939,0.1919,0.2101,0.3621,0.9231,0.8821,0.773,0.7211,0.139
0,0,0,0.2182,0.3641,0.016,0,0,0.0006,0,0,0.1426,0.9908,0.7595,0.0089,0.2986,0.5079,0.4023,0.0613,0.9554,0.1327,0.0288,0.003,0.1143,0.2559,0.5183,0.0136,0.9772,0.213,0.9062,0.135,0.4435,0.0006,0.1519,0.0603,0,0.0182,0.0576,0.8861,0.0056,0.357,0.2807,0.1993,0.4484,0.4983,0.8021,0.6077
