child neutral affect,cleanup not requested,mother positive affect,no child independent clean up,v direct concrete inst_mother positive tone,p touching toys for cleanup,v small mission steps_mother positive tone,no compliance - Passive_passive non compliance,p signal const,yes compliance,v positive feedback_mother positive tone,p positive feedback,v signal const_mother positive tone,v perspective/mirroring_mother positive tone,p mother cleanup,v concern_mother positive tone,p concern exp,subjects,child positive affect,v choice_mother positive tone,p gentle touch for clean up,v rational_mother positive tone,p affection expression,v motivation arousal_mother positive tone,p gentle touch for clean up_control,v unclear,v inadequate perspective/invalidation_mother positive tone,v action oriented feedback_mother positive tone,v affection_mother positive tone,v hostility_mother positive tone,no compliance - Defiance_defiance,p modeling,v modeling_mother positive tone,v direct concrete inst_mother positive tone_control,v small mission steps_mother negative tone_control,p signal const_control,v positive feedback_mother negative tone,v modeling_mother negative tone,p touching toys for cleanup_control,v affection_mother negative tone,v affection_mother negative tone_control,v direct concrete inst_mother negative tone_control,v small mission steps_mother positive tone_control,v affection_mother positive tone_control,v signal const_mother negative tone_control,p forceful touch for cleanup,child negative affect,no compliance - Refusal_refusal,p concern exp_control,v signal const_mother negative tone,v inadequate perspective/invalidation_mother negative tone,v direct concrete inst_mother negative tone,child alert,no inadequate boundaries setting,indecisive expectations setting_mother positive tone,legitimazinig expectation violation_mother positive tone,v glorificaion feedback_mother positive tone,v negative cr_mother positive tone,v hostility_mother negative tone,v signal const_mother positive tone_control,yes child independent clean up,v threat punishment_mother positive tone,v small mission steps_mother negative tone,p motivational arrousal,child tired,v material reward_mother positive tone,v negative feedback_mother positive tone,unclear compiance,v concern_mother negative tone,v negative cr_mother negative tone,v perspective/mirroring_mother negative tone
6.0,8.0,6.0,6.0,4.0,48.0,48.0,6.0,50.0,4.0,36.0,4.0,4.0,6.0,6.0,4.0,2.0,subjects_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,10.0,6.0,6.0,12.0,26.0,40.0,8.0,36.0,12.0,36.0,2.0,10.0,10.0,16.0,2.0,2.0,subjects_012,2.0,2.0,6.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,8.0,6.0,6.0,6.0,20.0,26.0,4.0,18.0,6.0,42.0,,22.0,2.0,14.0,,,subjects_015,,,,,,8.0,,2.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,10.0,6.0,6.0,6.0,16.0,18.0,16.0,14.0,12.0,18.0,,2.0,12.0,6.0,,,subjects_016,,,4.0,,2.0,12.0,4.0,,,,6.0,2.0,2.0,6.0,2.0,2.0,22.0,20.0,8.0,2.0,4.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
6.0,10.0,6.0,6.0,4.0,8.0,12.0,6.0,4.0,4.0,12.0,,10.0,2.0,12.0,,,subjects_018,,,4.0,,,4.0,,,,,12.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,10.0,6.0,6.0,10.0,10.0,8.0,4.0,12.0,2.0,,,,6.0,2.0,,,subjects_020,4.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,10.0,6.0,6.0,16.0,28.0,20.0,12.0,20.0,10.0,24.0,,4.0,2.0,12.0,2.0,2.0,subjects_021,,2.0,2.0,2.0,,8.0,,,6.0,2.0,2.0,6.0,,2.0,2.0,2.0,,,,,,,,2.0,2.0,,,,6.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
8.0,16.0,6.0,6.0,10.0,10.0,6.0,6.0,6.0,2.0,4.0,,6.0,4.0,8.0,,,subjects_022,,,2.0,,,,,,,,14.0,,2.0,4.0,4.0,,,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
20.0,26.0,6.0,6.0,18.0,22.0,8.0,10.0,14.0,,,,2.0,20.0,4.0,,,subjects_023,4.0,10.0,,2.0,2.0,,2.0,,4.0,,2.0,,12.0,4.0,6.0,,,,,,,,,,,,,,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,
14.0,10.0,6.0,6.0,16.0,6.0,22.0,8.0,26.0,4.0,8.0,,2.0,4.0,24.0,,,subjects_026,2.0,,,,4.0,2.0,,,,,14.0,,,2.0,2.0,2.0,,,,,,,,,4.0,,,,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,
