Affect_UNKNOWN,Autonomy Support_POS,Compliance_UNKNOWN,Concern_POS,Concern_UNKNOWN,Construction_POS,Construction_UNKNOWN,Control_UNKNOWN,Feedback_POS,Feedback_UNKNOWN,Independent clean up_UNKNOWN,Yes Compliance_UNKNOWN,subjects,Affection_UNKNOWN,Construction_NEG,?_UNKNOWN,Control_POS,Affection_NEG,Affection_POS,Autonomy Support_NEG,Autonomy Support_UNKNOWN,Feedback_NEG,Hostility_POS,Concern_NEG,Control_NEG,Alertness_UNKNOWN,Inadequate boundaries setting_POS,Inadequate boundaries setting_UNKNOWN,Hostility_NEG
12.0,6.0,14.0,4.0,2.0,56.0,98.0,6.0,36.0,4.0,6.0,4.0,subjects_011,,,,,,,,,,,,,,,,
16.0,16.0,18.0,2.0,2.0,62.0,68.0,16.0,36.0,2.0,6.0,12.0,subjects_012,2.0,2.0,,,,,,,,,,,,,,
12.0,16.0,12.0,,,54.0,38.0,14.0,42.0,,6.0,6.0,subjects_015,,,2.0,4.0,,,,,,,,,,,,
16.0,26.0,30.0,,,26.0,34.0,8.0,18.0,,6.0,12.0,subjects_016,2.0,64.0,,,6.0,6.0,2.0,6.0,8.0,2.0,,,,,,
12.0,6.0,16.0,,,26.0,16.0,12.0,12.0,,6.0,4.0,subjects_018,,,,,,12.0,,4.0,,,,,,,,
20.0,8.0,14.0,,,18.0,22.0,2.0,,,6.0,2.0,subjects_020,,,,,,2.0,,,,,,,,,,
24.0,18.0,24.0,2.0,2.0,40.0,50.0,12.0,24.0,,6.0,10.0,subjects_021,,10.0,,6.0,,2.0,,2.0,,6.0,2.0,2.0,,,,
16.0,8.0,26.0,,,22.0,18.0,8.0,4.0,,6.0,2.0,subjects_022,,2.0,,,,14.0,,4.0,,,,,,,,
40.0,38.0,66.0,,,28.0,36.0,4.0,,,6.0,,subjects_023,2.0,2.0,,4.0,,2.0,,4.0,,,,,,,,
28.0,8.0,26.0,,,40.0,32.0,24.0,8.0,,6.0,4.0,subjects_026,4.0,6.0,,,,14.0,,2.0,,,,,,,,
12.0,10.0,38.0,14.0,2.0,52.0,52.0,4.0,20.0,,6.0,12.0,subjects_028,2.0,,2.0,,,16.0,,4.0,,4.0,,,6.0,28.0,32.0,
12.0,12.0,26.0,,,68.0,30.0,4.0,36.0,,6.0,10.0,subjects_029,,,,2.0,,4.0,,4.0,,,,,6.0,,6.0,
12.0,14.0,42.0,4.0,2.0,62.0,60.0,6.0,12.0,,6.0,12.0,subjects_030,,,,,,2.0,,4.0,,,,,6.0,2.0,8.0,
12.0,,26.0,2.0,,28.0,32.0,12.0,12.0,,6.0,8.0,subjects_031,2.0,4.0,,2.0,,4.0,,6.0,,,,,6.0,,6.0,
28.0,14.0,52.0,,,64.0,60.0,20.0,18.0,,6.0,14.0,subjects_032,2.0,14.0,,12.0,,18.0,,,,4.0,,,6.0,2.0,8.0,2.0
12.0,4.0,12.0,4.0,,40.0,16.0,2.0,12.0,2.0,6.0,6.0,subjects_034,,4.0,,,,2.0,,,,,,,6.0,,6.0,
