subjectCode,Independent clean up,Control,Autonomy Support,Unknown category,Hostility,Affection,Alertness,Construction,Inadequate boundaries setting,Yes Compliance,Feedback,Concern,Compliance,Affect
subjects_011,0.009090909,0.027272727,0.027272727,0,0,0,0,0.7,0,0,0.181818182,0.027272727,0.009090909,0.018181818
subjects_012,0.009259259,0.074074074,0.074074074,0,0,0.009259259,0,0.611111111,0,0,0.175925926,0.018518519,0.009259259,0.018518519
subjects_015,0.011235955,0.101123596,0.08988764,0.011235955,0,0,0,0.516853933,0,0,0.235955056,0,0.011235955,0.02247191
subjects_016,0.009259259,0.037037037,0.157407407,0,0.009259259,0.064814815,0,0.574074074,0,0,0.12037037,0,0.009259259,0.018518519
subjects_018,0.020833333,0.125,0.104166667,0,0,0.125,0,0.4375,0,0,0.125,0,0.020833333,0.041666667
subjects_020,0.033333333,0.033333333,0.133333333,0,0,0.033333333,0,0.666666667,0,0,0,0,0.033333333,0.066666667
subjects_021,0.010752688,0.107526882,0.107526882,0,0.032258065,0.010752688,0,0.537634409,0,0,0.129032258,0.032258065,0.010752688,0.021505376
subjects_022,0.022727273,0.090909091,0.136363636,0,0,0.159090909,0,0.477272727,0,0,0.045454545,0,0.022727273,0.045454545
subjects_023,0.015625,0.0625,0.328125,0,0,0.03125,0,0.515625,0,0,0,0,0.015625,0.03125
subjects_026,0.01369863,0.164383562,0.068493151,0,0,0.123287671,0,0.534246575,0,0,0.054794521,0,0.01369863,0.02739726
subjects_028,0.008064516,0.016129032,0.056451613,0.008064516,0.016129032,0.072580645,0.008064516,0.419354839,0.225806452,0,0.080645161,0.064516129,0.008064516,0.016129032
subjects_029,0.011627907,0.034883721,0.093023256,0,0,0.023255814,0.011627907,0.569767442,0.011627907,0,0.209302326,0,0.011627907,0.023255814
subjects_030,0.010989011,0.032967033,0.098901099,0,0,0.010989011,0.010989011,0.67032967,0.032967033,0,0.065934066,0.032967033,0.010989011,0.021978022
subjects_031,0.017241379,0.120689655,0.051724138,0,0,0.051724138,0.017241379,0.551724138,0.017241379,0,0.103448276,0.017241379,0.017241379,0.034482759
subjects_032,0.008196721,0.131147541,0.057377049,0,0.024590164,0.081967213,0.008196721,0.56557377,0.024590164,0,0.073770492,0,0.008196721,0.016393443
subjects_034,0.020408163,0.020408163,0.040816327,0,0,0.020408163,0.020408163,0.612244898,0.020408163,0,0.142857143,0.040816327,0.020408163,0.040816327
subjects_036,0.02,0.16,0,0,0,0.04,0.02,0.46,0.14,0,0.02,0.08,0.02,0.04
subjects_037,0.00990099,0.02970297,0.168316832,0,0,0.099009901,0.00990099,0.465346535,0.00990099,0,0.178217822,0,0.00990099,0.01980198
subjects_038,0.016129032,0.129032258,0.096774194,0,0,0.016129032,0.016129032,0.580645161,0.016129032,0,0.080645161,0,0.016129032,0.032258065
subjects_039,0.013333333,0,0.173333333,0,0.013333333,0.013333333,0.013333333,0.6,0.04,0,0.066666667,0.026666667,0.013333333,0.026666667
subjects_041,0.019607843,0.019607843,0.078431373,0,0,0.019607843,0.019607843,0.607843137,0.019607843,0,0.156862745,0,0.019607843,0.039215686
subjects_043,0.014705882,0,0.25,0,0,0,0.014705882,0.470588235,0.014705882,0,0.161764706,0.029411765,0.014705882,0.029411765
subjects_044,0.011111111,0.077777778,0.122222222,0,0,0.044444444,0.011111111,0.611111111,0.011111111,0,0.055555556,0.022222222,0.011111111,0.022222222
subjects_048,0.009009009,0.081081081,0.117117117,0,0.009009009,0.018018018,0.009009009,0.558558559,0.117117117,0,0.054054054,0,0.009009009,0.018018018
subjects_050,0.00862069,0.025862069,0.060344828,0,0,0.051724138,0.00862069,0.586206897,0.025862069,0,0.198275862,0.00862069,0.00862069,0.017241379
subjects_057,0.014925373,0.134328358,0.029850746,0,0,0.059701493,0.014925373,0.567164179,0.074626866,0,0.059701493,0,0.014925373,0.029850746
subjects_059,0.018181818,0.127272727,0.145454545,0,0.018181818,0.127272727,0.018181818,0.254545455,0.236363636,0,0,0,0.018181818,0.036363636
subjects_063,0.014285714,0.114285714,0.1,0,0,0.157142857,0.014285714,0.342857143,0.214285714,0,0,0,0.014285714,0.028571429
subjects_066,0.015151515,0.075757576,0.060606061,0,0,0.015151515,0.015151515,0.606060606,0.045454545,0,0.090909091,0.03030303,0.015151515,0.03030303
subjects_067,0.015873016,0.095238095,0.079365079,0,0,0.031746032,0.015873016,0.571428571,0.047619048,0,0.095238095,0,0.015873016,0.031746032
subjects_069,0.007751938,0,0.124031008,0,0,0.069767442,0.007751938,0.604651163,0.007751938,0,0.15503876,0,0.007751938,0.015503876
subjects_070,0.010526316,0.063157895,0.094736842,0,0,0.031578947,0.010526316,0.578947368,0.010526316,0,0.147368421,0.021052632,0.010526316,0.021052632
subjects_082,0.009803922,0.058823529,0.107843137,0,0,0.019607843,0.009803922,0.617647059,0.009803922,0,0.137254902,0,0.009803922,0.019607843
subjects_083,0.009615385,0.038461538,0.019230769,0,0,0.057692308,0.009615385,0.730769231,0.048076923,0,0.057692308,0,0.009615385,0.019230769
subjects_085,0.010989011,0.043956044,0.208791209,0,0,0.032967033,0.010989011,0.571428571,0.076923077,0,0.010989011,0,0.010989011,0.021978022
subjects_100,0.011111111,0.044444444,0.011111111,0,0,0.066666667,0.011111111,0.644444444,0.011111111,0,0.166666667,0,0.011111111,0.022222222
subjects_105,0.047619048,0.142857143,0,0,0,0.142857143,0.047619048,0.428571429,0.047619048,0,0,0,0.047619048,0.095238095
subjects_109,0.011111111,0,0.055555556,0,0.011111111,0.144444444,0.011111111,0.666666667,0.011111111,0,0.044444444,0.011111111,0.011111111,0.022222222
subjects_113,0.016666667,0.083333333,0.033333333,0,0.083333333,0.066666667,0.016666667,0.416666667,0.116666667,0,0.083333333,0.033333333,0.016666667,0.033333333
subjects_118,0.019230769,0.019230769,0.115384615,0,0,0,0.019230769,0.634615385,0.019230769,0,0.096153846,0.019230769,0.019230769,0.038461538
subjects_119,0.018181818,0.236363636,0.072727273,0,0.018181818,0.090909091,0.018181818,0.327272727,0.163636364,0,0,0,0.018181818,0.036363636
subjects_121,0.016393443,0.098360656,0.032786885,0,0.032786885,0.098360656,0.016393443,0.573770492,0.049180328,0,0.016393443,0.016393443,0.016393443,0.032786885
subjects_126,0.015151515,0.015151515,0.045454545,0,0,0.106060606,0.015151515,0.636363636,0.015151515,0,0.106060606,0,0.015151515,0.03030303
subjects_132,0.016949153,0,0.016949153,0,0,0.016949153,0.016949153,0.677966102,0.016949153,0,0.152542373,0.033898305,0.016949153,0.033898305
subjects_133,0.021276596,0.14893617,0.127659574,0,0,0.021276596,0.021276596,0.574468085,0.021276596,0,0,0,0.021276596,0.042553191
subjects_148,0.02173913,0.02173913,0.108695652,0,0,0,0.02173913,0.586956522,0.02173913,0,0.152173913,0,0.02173913,0.043478261
subjects_149,0.010204082,0.091836735,0.112244898,0,0,0.030612245,0.010204082,0.581632653,0.010204082,0,0.112244898,0.010204082,0.010204082,0.020408163
subjects_152,0.01010101,0.01010101,0.080808081,0,0,0,0.01010101,0.717171717,0.01010101,0,0.131313131,0,0.01010101,0.02020202
subjects_161,0.015151515,0.212121212,0.121212121,0,0.075757576,0.015151515,0.015151515,0.424242424,0.015151515,0,0.060606061,0,0.015151515,0.03030303
subjects_166,0.011494253,0.172413793,0.08045977,0,0,0.011494253,0.011494253,0.436781609,0.195402299,0,0.045977011,0,0.011494253,0.022988506
subjects_169,0.008547009,0.008547009,0.145299145,0,0,0.034188034,0.008547009,0.64957265,0.008547009,0,0.111111111,0,0.008547009,0.017094017
subjects_170,0.014084507,0.056338028,0.014084507,0,0,0,0.014084507,0.704225352,0.014084507,0,0.14084507,0,0.014084507,0.028169014
subjects_177,0.008333333,0.075,0.016666667,0,0.041666667,0.008333333,0.008333333,0.675,0.025,0,0.066666667,0.05,0.008333333,0.016666667
subjects_178,0.008474576,0.025423729,0.186440678,0,0,0.084745763,0.008474576,0.559322034,0.008474576,0,0.093220339,0,0.008474576,0.016949153
subjects_180,0.02173913,0.043478261,0.173913043,0,0.02173913,0.043478261,0.02173913,0.47826087,0.02173913,0,0.108695652,0,0.02173913,0.043478261
subjects_181,0.03125,0.28125,0.15625,0,0,0.0625,0.03125,0.21875,0.03125,0,0,0.09375,0.03125,0.0625
subjects_186,0.018181818,0,0.090909091,0,0,0,0.018181818,0.672727273,0.018181818,0,0.127272727,0,0.018181818,0.036363636
subjects_191,0.017857143,0.071428571,0.089285714,0,0.017857143,0.017857143,0.017857143,0.571428571,0.017857143,0,0.107142857,0.017857143,0.017857143,0.035714286
subjects_199,0.014705882,0.058823529,0.161764706,0,0,0.073529412,0.014705882,0.529411765,0.014705882,0,0.088235294,0,0.014705882,0.029411765
subjects_203,0.009615385,0.182692308,0.086538462,0,0.009615385,0.028846154,0.009615385,0.548076923,0.028846154,0,0.048076923,0.019230769,0.009615385,0.019230769
subjects_204,0.011494253,0.034482759,0.114942529,0,0.011494253,0.034482759,0.011494253,0.609195402,0.011494253,0,0.126436782,0,0.011494253,0.022988506
subjects_209,0.016129032,0.048387097,0.129032258,0,0,0.064516129,0.016129032,0.387096774,0.274193548,0,0,0.016129032,0.016129032,0.032258065
subjects_210,0.009174312,0.128440367,0.036697248,0,0.009174312,0.146788991,0.009174312,0.605504587,0.009174312,0,0.009174312,0.009174312,0.009174312,0.018348624
subjects_211,0.014084507,0.014084507,0.042253521,0,0,0.028169014,0.014084507,0.633802817,0.014084507,0,0.183098592,0.014084507,0.014084507,0.028169014
subjects_214,0.011904762,0.142857143,0.083333333,0,0,0.083333333,0.011904762,0.488095238,0.05952381,0,0.05952381,0.023809524,0.011904762,0.023809524
subjects_215,0.022222222,0.222222222,0.044444444,0,0,0,0.022222222,0.555555556,0.022222222,0,0,0.044444444,0.022222222,0.044444444
subjects_217,0.037037037,0.074074074,0.037037037,0,0.037037037,0.111111111,0.037037037,0.407407407,0.111111111,0,0,0.037037037,0.037037037,0.074074074
